                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                                 Variable                                                   Percent
                              HW9        Wt/A Percent of ref. median                             9.68 
                              HWIDX      Index to birth history                                  0.00 
                              IDX92      Index to birth history                                  0.00 
                              IDX94      Index to birth history                                  0.00 
                              IDX95      Index to birth history                                  0.00 
                              IDX96      Index to birth history                                  4.65 
                              M1         Tetanus injections bef. birth                          18.22 
                              M10        Time wanted pregnancy                                   0.00 
                              M11        Time would have waited                                 72.10 
                              M13        Timing of 1st antenatal check                          22.80 
                              M14        Antenatal visits for pregnancy                         18.22 
                              M15        Place of delivery                                      18.22 
                              M17        Delivery by caesarean section                           0.00 
                              M19        Birth weight (kilos - 3 dec.)                           0.01 
                              M19A       Weight at birth recall                                  0.00 
                              M27        Flag for breastfeeding                                  0.00 
                              M28        Flag for amenorrhea                                     0.00 
                              M29        Flag for abstinence                                     0.00 
                              M2A        Prenatal: doctor                                       18.22 
                              M2B        Prenatal: nurse/midwife                                18.22 
                              M2D        Prenatal: auxiliary nurse                              18.22 
                              M2G        Prenatal: trad.birth attendant                         18.22 
                              M2K        Prenatal: other resp (uncoded)                         18.22 
                              M2N        Prenatal: no one                                       18.22 
                              M34        When child put to breast                               20.34 
                              M35        Times breastfed during night                           71.14 
                              M36        Times breastfed during day                             71.14 
                              M38        Drank from bottle with nipple                           1.76 
                              M39        Times ate solid, semi-solid or soft food yesterday      1.76 
                              M3A        Assistance: doctor                                      0.00 
                              M3B        Assistance: nurse/midwife                               0.00 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

              Variable                                                                                        Percent
                Name      Variable Label                                                                      Missing

                M3D       Assistance: auxiliary nurse                                                           0.00 
                M3G       Assistance: trad.birth attend.                                                        0.00 
                M3H       Assistance: relative, friend                                                          0.00 
                M3K       Assistance: other resp (uncod)                                                        0.00 
                M3N       Assistance: no one                                                                    0.00 
                M4        Duration of breastfeeding                                                             0.00 
                M42A      During pregnancy - weighed                                                           22.80 
                M42C      During pregnancy - blood pressure taken                                              22.80 
                M42D      During pregnancy - urine sample taken                                                22.80 
                M42E      During pregnancy - blood sample taken                                                22.80 
                M43       Told about pregnancy complications                                                   22.80 
                M44       Told where to go for pregnancy complications                                         39.96 
                M45       During pregnancy, given or bought iron tablets/syrup                                 18.22 
                M49A      During pregnancy - took Fansidar for Malaria                                         18.22 
                M49B      During pregnancy - took Chloroquine for Malaria                                      18.22 
                M49D      During pregnancy - amodiaquin for Malaria                                            18.22 
                M49E      During pregnancy - Primaquin (Neoquipenil) for Malaria                               18.22 
                M49X      During pregnancy - took other drug for Malaria                                       18.22 
                M49Z      During pregnancy - took no drug for Malaria                                          18.22 
                M5        Months of breastfeeding                                                               0.00 
                M51A      Respondent checkup after deliver timing                                              44.01 
                M55A      First 3 days, given milk other than breast milk                                      20.34 
                M55B      First 3 days, given plain water                                                      20.34 
                M55C      First 3 days, given sugar/glucose water                                              20.34 
                M55E      First 3 days, given sugar/salt/water solution                                        20.34 
                M55F      First 3 days, given fruit juice                                                      20.34 
                M55G      First 3 days, given infant formula                                                   20.34 
                M55H      First 3 days, given tea/infusions                                                    20.34 
                M55J      First 3 days, water with panela (sugar cane paste)                                   20.34 
                M55K      First 3 days, ORS (oral rehydration salt)                                            20.34 
                M55X      First 3 days, given other                                                            20.34 
                M55Z      First 3 days, given nothing                                                          20.34 
                M57E      Antenatal care: hospital/clinic/health institution/health post                       22.80 
                M57O      Antenatal care: private doctor                                                       22.80 
                M57P      Antenatal care: PROFAMILIA                                                           22.80 
                M57X      Antenatal care: other                                                                22.80 
                M6        Duration of amenorrhea                                                                0.01 
                M65A      Reason didn't deliver at health facility: cost too much                              92.89 
                M65B      Reason didn't deliver at health facility: Transportation too expensive               92.89 
                M65C      Reason didn't deliver at health facility: too far                                    92.89 
                M65D      Reason didn't deliver at health facility: don't trust doctors                        92.89 
                M65E      Reason didn't deliver at health facility: bad quality service                        92.89 
                M65F      Reason didn't deliver at health facility: husband didn't allow                       92.89 
                M65G      Reason didn't deliver at health facility: did go but service wasn't provided         92.89 
                M65H      Reason didn't deliver at health facility: too much paper work                        92.89 
                M65I      Reason didn't deliver at health facility: don't know where service is provided       92.89 
                M65J      Reason didn't deliver at health facility: security reasons                           92.89 
                M65K      Reason didn't deliver at health facility: takes too long to get service              92.89 
                M65L      Reason didn't deliver at health facility: didn't know that has the service right     92.89 
                M65X      Reason didn't deliver at health facility: other                                      92.89 
                M66       After discharge/delivery at home anyone checked respondent health                     0.01 
                M67       How long after discharge/delivery at home respondent health check took place         44.01 
                M68       Who checked respondent health after discharge/delivery at home                       44.01 
                M69       Where respondent check after discharge/delivery at home took place                   44.01 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

            Variable                                                                                            Percent
              Name      Variable Label                                                                          Missing

             M7         Months of amenorrhea                                                                      0.01 
             M71        How long after delivery postnatal check took place                                       18.22 
             M8         Duration of abstinence                                                                    0.01 
             M9         Months of abstinence                                                                      0.01 
             MIDX       Index to birth history                                                                    0.00 
             S1009      Do you believe that HIV is terminal                                                       6.14 
             S1010      Believe to have risk of getting AIDS                                                      6.14 
             S1023      HIV test paid by health insurance                                                        36.54 
             S102N      Time living in current place of residence (number)                                        0.00 
             S102U      Time living in current place of residence (units)                                         0.00 
             S1037      Do you believe that homosexuals are infected with HIV                                     6.14 
             S1041A     Man's symptoms of STD: abdominal pain                                                    26.50 
             S1041B     Man's symptoms of STD:  genital discharge/dripping                                       26.50 
             S1041C     Man's symptoms of STD: foul smelling discharge                                           26.50 
             S1041D     Man's symptoms of STD: burning pain during urination                                     26.50 
             S1041E     Man's symptoms of STD: redness/rash                                                      26.50 
             S1041F     Man's symptoms of STD: swelling                                                          26.50 
             S1041G     Man's symptoms of STD: sores/ulcers                                                      26.50 
             S1041H     Man's symptoms of STD: warts                                                             26.50 
             S1041I     Man's symptoms of STD: blood in urine                                                    26.50 
             S1041J     Man's symptoms of STD: weight loss                                                       26.50 
             S1041K     Man's symptoms of STD: impotence                                                         26.50 
             S1041L     Man's symptoms of STD: no symptoms                                                       26.50 
             S1041M     Man's symptoms of STD: weakness                                                          26.50 
             S1041N     Man's symptoms of STD: bad physical appearence                                           26.50 
             S1041Q     Man's symptoms of STD: diarrhea, fever, headache                                         26.50 
             S1041X     Man's symptoms of STD: other                                                             26.50 
             S1041Z     Man's symptoms of STD: don't know                                                        26.50 
             S1042A     Woman's symptoms of STD: abdominal pain                                                  26.50 
             S1042B     Woman's symptoms of STD:  genital discharge/dripping                                     26.50 
             S1042C     Woman's symptoms of STD: foul smelling discharge                                         26.50 
             S1042D     Woman's symptoms of STD: burning pain during urination                                   26.50 
             S1042E     Woman's symptoms of STD: redness/rash                                                    26.50 
             S1042F     Woman's symptoms of STD: swelling                                                        26.50 
             S1042G     Woman's symptoms of STD: sores/ulcers                                                    26.50 
             S1042H     Woman's symptoms of STD: warts                                                           26.50 
             S1042I     Woman's symptoms of STD: blood in urine                                                  26.50 
             S1042J     Woman's symptoms of STD: weight loss                                                     26.50 
             S1042K     Woman's symptoms of STD: incapacity to deliver                                           26.50 
             S1042L     Woman's symptoms of STD: no symptoms                                                     26.50 
             S1042X     Woman's symptoms of STD: other                                                           26.50 
             S1042Z     Woman's symptoms of STD: don't know                                                      26.50 
             S1051      Treatment for STD paid by health insurance                                               93.17 
             S1052      Advise partner when had STD                                                              91.83 
             S1053      When had STD did something to avoid infecting partner                                    91.83 
             S1054A     What was done: no sexual intercourse                                                     94.02 
             S1054B     What was done: used condoms                                                              94.02 
             S1054C     What was done: took medicines                                                            94.02 
             S1056A     During health consultations got advice to prevent STDs                                   26.50 
             S106G      Grade of school completed                                                                 3.01 
             S106N      Level of school completed                                                                 3.01 
             S107       Can read a letter or newspaper                                                           66.20 
             S109       Currently attending school                                                               60.24 
             S110       Reason stop school                                                                       66.06 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

            Variable                                                                                            Percent
              Name      Variable Label                                                                          Missing

             S1104      Husband uses expressions like: you are good for nothing, never do anything well, etc     10.95 
             S1105      Are expressions used in public or in private                                             76.00 
             S1106A     Has husband threatened with: abandoning her/go away with another woman                   10.95 
             S1106B     Has husband threatened with: take away children                                          10.95 
             S1106C     Has husband threatened with: withdraw economic support                                   10.95 
             S1110I     As a result of mistreatment respondent: diminished productivity at school/work           68.85 
             S1110J     As a result of mistreatment respondent: got sick physically                              68.85 
             S1110K     As a result of mistreatment respondent: got mental problems                              68.85 
             S1110L     As a result of mistreatment respondent: lost sexual interest                             68.85 
             S1112      Did see the doctor/health center as a result of mistreatment                             73.95 
             S1113      At doctor's office/health center received information for protection/denouncing          95.48 
             S1114      At the time of aggression did you attack your husband back                               68.85 
             S1115A     At times when husband is not mistreating have you: hit him                               10.95 
             S1115B     At times when husband is not mistreating have you: insulted him                          10.95 
             S1115C     At times when husband is not mistreating have you: controlled him                        10.95 
             S1115D     At times when husband is not mistreating have you: got jealous                           10.95 
             S1115X     At times when husband is not mistreating have you: other                                 10.95 
             S1115Z     At times when husband is not mistreating have you: done nothing                          10.95 
             S1118      Have ever drunk alcohol                                                                  10.95 
             S1119      Frequency of alcohol drinking last 12 months                                             76.53 
             S1122      Has husband/partner ever consumed drugs                                                  10.95 
             S1123      Frequency husband/partner consumed drugs last 12 months                                  96.60 
             S1125      Last 12 months considered separating from partner                                        25.81 
             S1126      Reasons for wanting to separate from partner                                             78.33 
             S1133      As a result of mistreatment have had a pregnancy loss                                    90.53 
             S1135      Forced by other than husband to perform sexual acts                                       1.50 
             S1136      Want to talk about the time when forced for sexual acts                                  94.40 
             S1137A     Who forced to perform sexual acts: father                                                95.48 
             S1137B     Who forced to perform sexual acts: step father                                           95.48 
             S1137C     Who forced to perform sexual acts: brother                                               95.48 
             S1137D     Who forced to perform sexual acts: ex-partner                                            95.48 
             S1137E     Who forced to perform sexual acts: boyfriend                                             95.48 
             S1137F     Who forced to perform sexual acts: father-in-law                                         95.48 
             S1137G     Who forced to perform sexual acts: other male relative of husband                        95.48 
             S1137H     Who forced to perform sexual acts: other male relative of respondent                     95.48 
             S1137I     Who forced to perform sexual acts: friend                                                95.48 
             S1137J     Who forced to perform sexual acts: teacher                                               95.48 
             S1137K     Who forced to perform sexual acts: employer                                              95.48 
             S1137L     Who forced to perform sexual acts: unknown person                                        95.48 
             S1137X     Who forced to perform sexual acts: other                                                 95.48 
             S1138      When was raped took emergency contraception                                              95.48 
             S1139      As a result of the rape got pregnant                                                     95.48 
             S1140      Was told about abortion rights when raped                                                95.48 
             S1142      Has been forced to have sex to obtain money/benefits for others                           1.50 
             S1143A     Who forced to have sex for money/benefits: mother/father                                 99.51 
             S1143B     Who forced to have sex for money/benefits: step parents                                  99.51 
             S1143C     Who forced to have sex for money/benefits: ex-partner                                    99.51 
             S1143D     Who forced to have sex for money/benefits: other relative of husband                     99.51 
             S1143E     Who forced to have sex for money/benefits: other relative of respondent                  99.51 
             S1143F     Who forced to have sex for money/benefits: boyfriend                                     99.51 
             S1143G     Who forced to have sex for money/benefits: friend                                        99.51 
             S1143H     Who forced to have sex for money/benefits: teacher/employer/unknown person               99.51 
             S1143X     Who forced to have sex for money/benefits: other                                         99.51 
             S1144      Has been sexually harassed                                                                1.50 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

            Variable                                                                                            Percent
              Name      Variable Label                                                                          Missing

             S1145A     Sexual harassment occurred in: bus                                                       85.61 
             S1145B     Sexual harassment occurred in: street                                                    85.61 
             S1145C     Sexual harassment occurred at: home                                                      85.61 
             S1145D     Sexual harassment occurred at: school                                                    85.61 
             S1145E     Sexual harassment occurred in: supermarket                                               85.61 
             S1145F     Sexual harassment occurred at: meeting                                                   85.61 
             S1145G     Sexual harassment occurred at: discotheque                                               85.61 
             S1145X     Sexual harassment occurred at: other                                                     85.61 
             S1146      Has felt uneasy or sexually harassed in a street                                          1.50 
             S1148      Has requested help from persons close to you when mistreated                             58.32 
             S1149A     When mistreated requested help form: mother/father                                       81.96 
             S1149B     When mistreated requested help form: step parents                                        81.96 
             S1149C     When mistreated requested help form: ex-partner                                          81.96 
             S1149D     When mistreated requested help form: other relative of husband                           81.96 
             S1149E     When mistreated requested help form: other relative of respondent                        81.96 
             S1149F     When mistreated requested help form: boyfriend                                           81.96 
             S1149G     When mistreated requested help form: ex-boyfriend                                        81.96 
             S1149H     When mistreated requested help form: husband/partner                                     81.96 
             S1149I     When mistreated requested help form: friend/neighbor                                     81.96 
             S1149J     When mistreated requested help form: teacher/employer                                    81.96 
             S1149X     When mistreated requested help form: other                                               81.96 
             S1150A     When mistreated seek help from: police inspection                                        58.32 
             S1150B     When mistreated seek help from: family commissary                                        58.32 
             S1150C     When mistreated seek help from: ICBF                                                     58.32 
             S1150D     When mistreated seek help from: public attorney office (fiscalia)                        58.32 
             S1150E     When mistreated seek help from: court                                                    58.32 
             S1150F     When mistreated seek help from: health institution                                       58.32 
             S1150G     When mistreated seek help from: PROFAMILIA                                               58.32 
             S1150H     When mistreated seek help from: municipality (personero)                                 58.32 
             S1150I     When mistreated seek help from: house of justice                                         58.32 
             S1150X     When mistreated seek help from: other                                                    58.32 
             S1150Z     When mistreated seek help from: never look for help                                      58.32 
             S1151      Did it help to seek help                                                                 58.32 
             S1152      When mistreated did denounce the mistreatment                                            90.34 
             S1153A     Authority where denouncement was placed: police inspection                               91.75 
             S1153B     Authority where denouncement was placed: family commissary                               91.75 
             S1153C     Authority where denouncement was placed: public attorney office (fiscalia)               91.75 
             S1153D     Authority where denouncement was placed: court                                           91.75 
             S1153X     Authority where denouncement was placed: other                                           91.75 
             S1153Z     Authority where denouncement was placed: never denounced                                 91.75 
             S1154A     Result of denouncement was: sanction the agressor                                        91.79 
             S1154B     Result of denouncement was: prohibited entering the house                                91.79 
             S1154C     Result of denouncement was: prohibited from coming close to her                          91.79 
             S1154D     Result of denouncement was: didn't receive any sanction                                  91.79 
             S1154E     Result of denouncement was: violence didn't stop                                         91.79 
             S1154F     Result of denouncement was: violence increased                                           91.79 
             S1154X     Result of denouncement was: other                                                        91.79 
             S1155A     Reason didn't denounce person who mistreat: don't know where to go                       66.53 
             S1155B     Reason didn't denounce person who mistreat: shame/humiliation                            66.53 
             S1155C     Reason didn't denounce person who mistreat: it is part of life                           66.53 
             S1155D     Reason didn't denounce person who mistreat: feel that deserves the abuse                 66.53 
             S1155E     Reason didn't denounce person who mistreat: fear of divorce/separation                   66.53 
             S1155F     Reason didn't denounce person who mistreat: fear of being beaten (her/her children)      66.53 
             S1155G     Reason didn't denounce person who mistreat: don't feel the damage was big                66.53 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

       Variable                                                                                                       Percent
         Name      Variable Label                                                                                     Missing

       S1155H      Reason didn't denounce person who mistreat: don't want to cause harm to the agressor                66.53 
       S1155I      Reason didn't denounce person who mistreat: think can resolve the problem herself                   66.53 
       S1155J      Reason didn't denounce person who mistreat: don't believe in judicial system                        66.53 
       S1155K      Reason didn't denounce person who mistreat: bad experience when denounced in previous occasions     66.53 
       S1155L      Reason didn't denounce person who mistreat: think it will not happen again                          66.53 
       S1155M      Reason didn't denounce person who mistreat: still loves the agressor                                66.53 
       S1155X      Reason didn't denounce person who mistreat: other                                                   66.53 
       S1158       Was husband mistreated by parents/step parents                                                      10.95 
       S1159       Do you have a step child living with you                                                             1.50 
       S1161       Have your children been sexually approached by friends neighbors                                     1.81 
       S1162A      Who punish children/step children: father                                                            1.81 
       S1162B      Who punish children/step children: respondent                                                        1.81 
       S1162C      Who punish children/step children: grand-mother/great-grand-mother                                   1.81 
       S1162X      Who punish children/step children: other                                                             1.81 
       S1162Y      Who punish children/step children: nobody                                                            1.81 
       S1162Z      Who punish children/step children: don't know if they are punished                                   1.81 
       S1164AA     How partner punish children: spanking them                                                          57.42 
       S1164AB     How partner punish children: pushing them                                                           57.42 
       S1164AC     How partner punish children: by verbal reprimand                                                    57.42 
       S1164AD     How partner punish children: prohibiting something they like                                        57.42 
       S1164AE     How partner punish children: depriving from food                                                    57.42 
       S1164AF     How partner punish children:  hitting with objects                                                  57.42 
       S1164AG     How partner punish children: keeping them locked up                                                 57.42 
       S1164AH     How partner punish children: ignoring them                                                          57.42 
       S1164AI     How partner punish children: assigning non-appropriate work                                         57.42 
       S1164AJ     How partner punish children: leaving them out of the house                                          57.42 
       S1164AK     How partner punish children: throwing water at them                                                 57.42 
       S1164AL     How partner punish children: hiding their clothes                                                   57.42 
       S1164AM     How partner punish children: taking away belongings                                                 57.42 
       S1164AN     How partner punish children: withdrawing economic support                                           57.42 
       S1164AX     How partner punish children: other                                                                  57.42 
       S1164BA     How partner punish step-children: spanking them                                                     98.81 
       S1164BB     How partner punish step-children: pushing them                                                      98.81 
       S1164BC     How partner punish step-children: by verbal reprimand                                               98.81 
       S1164BD     How partner punish step-children: prohibiting something they like                                   98.81 
       S1164BE     How partner punish step-children: depriving from food                                               98.81 
       S1164BF     How partner punish step-children:  hitting with objects                                             98.81 
       S1164BG     How partner punish step-children: keeping them locked up                                            98.81 
       S1164BH     How partner punish step-children: ignoring them                                                     98.81 
       S1164BI     How partner punish step-children: assigning non-appropriate work                                    98.81 
       S1164BJ     How partner punish step-children: leaving them out of the house                                     98.81 
       S1164BK     How partner punish step-children: throwing water at them                                            98.81 
       S1164BL     How partner punish step-children: hiding their clothes                                              98.81 
       S1164BM     How partner punish step-children: taking away belongings                                            98.81 
       S1164BN     How partner punish step-children: withdrawing economic support                                      98.81 
       S1164BX     How partner punish step-children: other                                                             98.81 
       S1164CA     How respondent punish children: spanking them                                                       20.44 
       S1164CB     How respondent punish children: pushing them                                                        20.44 
       S1164CC     How respondent punish children: by verbal reprimand                                                 20.44 
       S1164CD     How respondent punish children: prohibiting something they like                                     20.44 
       S1164CE     How respondent punish children: depriving from food                                                 20.44 
       S1164CF     How respondent punish children:  hitting with objects                                               20.44 
       S1164CG     How respondent punish children: keeping them locked up                                              20.44 
       S1164CH     How respondent punish children: ignoring them                                                       20.44 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                    Variable                                                                            Percent
                      Name      Variable Label                                                          Missing

                    S1164CI     How respondent punish children: assigning non-appropriate work           20.44 
                    S1164CJ     How respondent punish children: leaving them out of the house            20.44 
                    S1164CK     How respondent punish children: throwing water at them                   20.44 
                    S1164CL     How respondent punish children: hiding their clothes                     20.44 
                    S1164CM     How respondent punish children: taking away belongings                   20.44 
                    S1164CN     How respondent punish children: withdrawing economic support             20.44 
                    S1164CX     How respondent punish children: other                                    20.44 
                    S1164DA     How respondent punish step-children: spanking them                       98.77 
                    S1164DB     How respondent punish step-children: pushing them                        98.77 
                    S1164DC     How respondent punish step-children: by verbal reprimand                 98.77 
                    S1164DD     How respondent punish step-children: prohibiting something they like     98.77 
                    S1164DE     How respondent punish step-children: depriving from food                 98.77 
                    S1164DF     How respondent punish step-children:  hitting with objects               98.77 
                    S1164DG     How respondent punish step-children: keeping them locked up              98.77 
                    S1164DH     How respondent punish step-children: ignoring them                       98.77 
                    S1164DI     How respondent punish step-children: assigning non-appropriate work      98.77 
                    S1164DJ     How respondent punish step-children: leaving them out of the house       98.77 
                    S1164DK     How respondent punish step-children: throwing water at them              98.77 
                    S1164DL     How respondent punish step-children: hiding their clothes                98.77 
                    S1164DM     How respondent punish step-children: taking away belongings              98.77 
                    S1164DN     How respondent punish step-children: withdrawing economic support        98.77 
                    S1164DX     How respondent punish step-children: other                               98.77 
                    S1164EA     How other punish children: spanking them                                 94.15 
                    S1164EB     How other punish children: pushing them                                  94.15 
                    S1164EC     How other punish children: by verbal reprimand                           94.15 
                    S1164ED     How other punish children: prohibiting something they like               94.15 
                    S1164EE     How other punish children: depriving from food                           94.15 
                    S1164EF     How other punish children:  hitting with objects                         94.15 
                    S1164EG     How other punish children: keeping them locked up                        94.15 
                    S1164EH     How other punish children: ignoring them                                 94.15 
                    S1164EI     How other punish children: assigning non-appropriate work                94.15 
                    S1164EJ     How other punish children: leaving them out of the house                 94.15 
                    S1164EK     How other punish children: throwing water at them                        94.15 
                    S1164EL     How other punish children: hiding their clothes                          94.15 
                    S1164EM     How other punish children: taking away belongings                        94.15 
                    S1164EN     How other punish children: withdrawing economic support                  94.15 
                    S1164EX     How other punish children: other                                         94.15 
                    S1164FA     How other punish step-children: spanking them                            99.96 
                    S1164FB     How other punish step-children: pushing them                             99.96 
                    S1164FC     How other punish step-children: by verbal reprimand                      99.96 
                    S1164FD     How other punish step-children: prohibiting something they like          99.96 
                    S1164FE     How other punish step-children: depriving from food                      99.96 
                    S1164FF     How other punish step-children:  hitting with objects                    99.96 
                    S1164FG     How other punish step-children: keeping them lock                        99.96 
                    S1164FH     How other punish step-children: ignoring them                            99.96 
                    S1164FI     How other punish step-children: assigning non-appropriate work           99.96 
                    S1164FJ     How other punish step-children: leaving them out of the house            99.96 
                    S1164FK     How other punish step-children: throwing water at them                   99.96 
                    S1164FL     How other punish step-children: hiding their clothes                     99.96 
                    S1164FM     How other punish step-children: taking away belongings                   99.96 
                    S1164FN     How other punish step-children: withdrawing economic support             99.96 
                    S1164FX     How other punish step-children: other                                    99.96 
                    S1165A      How did your parents punish you: spanking                                 1.50 
                    S1165B      How did your parents punish you: pushing                                  1.50 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                      Variable                                                                         Percent
                        Name      Variable Label                                                       Missing

                       S1165C     How did your parents punish you: by verbal reprimand                   1.50 
                       S1165D     How did your parents punish you: prohibiting something I liked         1.50 
                       S1165E     How did your parents punish you: depriving from food                   1.50 
